id,author_sort,title,isbn,identifiers,series,series_index,uuid
"281","Highsmith, Patricia","The Talented Mr. Ripley","9780393332148","google:DO-7KCY6APMC,isbn:9780393332148","Mr. Ripley Series","1.0","5026e7b0-c2e2-4286-af3e-f70e982cf77b"
"282","Kennedy, Sean","Immersion 2086","9781682225448","goodreads:27971562,isbn:9781682225448,amazon:1682225445,mobi-asin:B019229ZI4,barnesnoble:w/immersion-sean-kennedy/1123121022","","1.0","18acdacf-d4a1-4b3b-90f7-0976d0e30880"
"284","Peper, Eliot","Cumulus","9781532707193","barnesnoble:w/cumulus-eliot-peper/1123730718,goodreads:29908112,isbn:9781532707193,amazon:B01E4L5L6S,mobi-asin:B01E4L5L6S","","1.0","0a16d262-383e-4f9e-a292-444489a76738"
"285","Sterling, Bruce","Islands in the Net","9781497686519","amazon:B00PDDKVXK,barnesnoble:w/islands-in-the-net-bruce-sterling/1000654395,isbn:9781497686519,mobi-asin:1c547975-5a1c-4ec0-9327-e3513babf6d0,google:2-rpAAAAMAAJ,goodreads:23514977","","1.0","fb66152e-ebdf-48da-9cea-4c4b06531320"
"286","Simon, Ted","Jupiter's Travels","9780140054101","google:flPTbaplSLMC,isbn:9780140054101,mobi-asin:B002RI92RU,barnesnoble:w/jupiters-travels-ted-simon/1100086352,goodreads:820934","","1.0","8d4d212b-2c12-4dd5-948c-0e12dde67293"
"287","Moore, Alan & Bolland, Brian","Batman: The Killing Joke","9781401216672","google:l0UTIQAACAAJ,barnesnoble:w/batman-alan-moore/1000193854,isbn:9781401216672,goodreads:2233549","Accidents in North American Mountaineering","72.0","109be96a-aceb-4da3-a146-0afc527761d2"
"288","Otomo, Katsuhiro","Akira, Vol. 1","9781569714980","isbn:9781569714980,goodreads:93371","Akira: 6 Volumes","1.0","76f6d03f-c1ce-40fd-8ce0-4dfb10b96ebf"
"289","Whedon, Joss & Mathews, Brett","Serenity: Those Left Behind #2","","goodreads:27261280","Serenity: Those Left Behind","2.0","6f255d21-6b2b-415c-ae78-329b69952adf"
"290","Whedon, Zack","Serenity: Downtime","","goodreads:13624757","Serenity","4.0","0599bf31-b86f-40ab-b7b4-ed05657e1519"
"291","Whedon, Joss & Whedon, Zack & Morris, Chris Samnee; Dave Stewart; Steve","The Shepherd's Tale","9781595825612","isbn:9781595825612,amazon:1595825614,barnesnoble:w/serenity-joss-whedon/1112690308,goodreads:8596384,google:JEEIyQEACAAJ","Serenity","3.0","562c3fe8-d309-4cc7-a1a2-8ffd88a567be"
"292","Oswalt, Patton","Serenity: Float Out","","goodreads:9776380,google:Ny-jCgAAQBAJ","Serenity","5.0","91e9de38-11c7-45ff-ab76-07fd781c1c2b"
"293","Krueger, Jim","Serenity: The Other Half","","goodreads:11381977","Serenity","2.0","4ef297de-9dbd-4850-83b3-4172b541da17"
"294","Whedon, Joss & Matthews, Brett","Serenity: Those Left Behind #1","","goodreads:26904579","Serenity: Those Left Behind","1.0","cb9f029f-cd6d-4856-bd35-a7334d101555"
"295","Whedon, Joss & Matthews, Brett","Serenity: Better Days #3","","goodreads:19433017","Serenity: Better Days","3.0","a7340145-7873-4c31-9a76-17c4df6c43ee"
"296","Whedon, Joss & Matthews, Brett","Serenity: Better Days #1","","goodreads:20769393","Serenity: Better Days","1.0","d25c57c9-96eb-4f0c-974a-9b011749b4df"
"297","Whedon, Joss & Matthews, Brett","Serenity: Better Days #2","","goodreads:20769390","Serenity: Better Days","2.0","197edddc-d1fd-4cb3-a631-360f667453fc"
"298","Whedon, Joss & Matthews, Brett","Serenity: Those Left Behind #3","","goodreads:27261356","Serenity: Those Left Behind","3.0","e3a13d60-7f35-405f-8b3f-35c33339b128"
"299","Otomo, Katsuhiro & tomo & Sivasubramanian, Kumar","Akira Club","9781593077419","goodreads:93390,barnesnoble:w/akira-club-katsuhiro-otomo/1008168650,isbn:9781593077419,google:pxAwAAAACAAJ","","1.0","8bd414f4-7c41-48ad-b4d0-a4455d9cdfb5"
"300","Otomo, Katsuhiro","Akira, Vol. 2","9781569714997","goodreads:93370,isbn:9781569714997","Akira: 6 Volumes","2.0","b9cce72d-fd1d-424e-a2a0-137b59ddbf68"
"301","Otomo, Katsuhiro","Akira, Vol. 6","9781569715284","goodreads:93375,isbn:9781569715284","Akira: 6 Volumes","6.0","239b4349-56d0-4cf0-8339-a214446f29bd"
"302","Otomo, Katsuhiro","Akira, Vol. 5","9781569715277","goodreads:93376,isbn:9781569715277","Akira: 6 Volumes","5.0","8f50d268-a118-414d-bf92-d4aa7f8222d5"
"303","Otomo, Katsuhiro","Akira, Vol. 3","9781569715253","isbn:9781569715253,goodreads:93372","Akira: 6 Volumes","3.0","ffbb238e-198f-45a2-ac72-cc207151d033"
